,Verb/Skill,Frequency,Grade,Subject
0,incorporate,1,Grade 6,ART
1,offer,1,Grade 6,ART
2,empower,1,Grade 6,ART
3,explore,1,Grade 6,ART
4,engage,1,Grade 6,ART
5,motivate,1,Grade 6,ART
6,solve,2,Grade 6,ART
7,develop,5,Grade 6,ART
8,increase,2,Grade 6,ART
9,make,2,Grade 6,ART
10,lead,1,Grade 6,ART
11,encourage,1,Grade 6,ART
12,nurture,1,Grade 6,ART
13,provide,1,Grade 6,ART
14,organize,1,Grade 6,ART
15,expect,1,Grade 6,ART
16,acquire,1,Grade 6,ART
17,present,1,Grade 6,ART
18,rely,1,Grade 6,ART
19,think,1,Grade 6,ART
20,create,1,Grade 6,ART
21,communicate,1,Grade 6,ART
22,challenge,1,Grade 6,ART
23,collaborate,1,Grade 6,ART
24,build,1,Grade 6,ART
25,exercise,1,Grade 6,ART
26,contain,2,Grade 6,ART
27,include,1,Grade 6,ART
28,master,1,Grade 6,ART
29,intend,1,Grade 6,ART
