,Verb/Skill,Frequency,Grade,Subject
0,introduce,1,Grade 4,CHARACTER TRAITS
1,empower,1,Grade 4,CHARACTER TRAITS
2,care,1,Grade 4,CHARACTER TRAITS
3,reflect,1,Grade 4,CHARACTER TRAITS
4,provide,1,Grade 4,CHARACTER TRAITS
5,permit,1,Grade 4,CHARACTER TRAITS
6,apply,1,Grade 4,CHARACTER TRAITS
7,make,2,Grade 4,CHARACTER TRAITS
8,solve,1,Grade 4,CHARACTER TRAITS
9,behave,1,Grade 4,CHARACTER TRAITS
10,comprise,1,Grade 4,CHARACTER TRAITS
11,consist,1,Grade 4,CHARACTER TRAITS
12,follow,1,Grade 4,CHARACTER TRAITS
13,include,2,Grade 4,CHARACTER TRAITS
14,have,3,Grade 4,CHARACTER TRAITS
15,expect,1,Grade 4,CHARACTER TRAITS
16,develop,1,Grade 4,CHARACTER TRAITS
17,recognize,1,Grade 4,CHARACTER TRAITS
18,live,1,Grade 4,CHARACTER TRAITS
19,organize,1,Grade 4,CHARACTER TRAITS
20,teach,1,Grade 4,CHARACTER TRAITS
21,discuss,1,Grade 4,CHARACTER TRAITS
22,view,1,Grade 4,CHARACTER TRAITS
23,contain,2,Grade 4,CHARACTER TRAITS
24,master,1,Grade 4,CHARACTER TRAITS
25,intend,1,Grade 4,CHARACTER TRAITS
