,Verb/Skill,Frequency,Grade,Subject
0,incorporate,1,Grade 6,DANCE
1,offer,1,Grade 6,DANCE
2,empower,1,Grade 6,DANCE
3,explore,3,Grade 6,DANCE
4,engage,1,Grade 6,DANCE
5,motivate,1,Grade 6,DANCE
6,solve,1,Grade 6,DANCE
7,develop,8,Grade 6,DANCE
8,increase,2,Grade 6,DANCE
9,make,3,Grade 6,DANCE
10,lead,1,Grade 6,DANCE
11,encourage,1,Grade 6,DANCE
12,nurture,1,Grade 6,DANCE
13,provide,1,Grade 6,DANCE
14,organize,1,Grade 6,DANCE
15,expect,1,Grade 6,DANCE
16,acquire,1,Grade 6,DANCE
17,promote,1,Grade 6,DANCE
18,move,1,Grade 6,DANCE
19,recognize,1,Grade 6,DANCE
20,understand,1,Grade 6,DANCE
21,enable,2,Grade 6,DANCE
22,participate,1,Grade 6,DANCE
23,evaluate,1,Grade 6,DANCE
24,analyze,1,Grade 6,DANCE
25,allow,1,Grade 6,DANCE
26,strengthen,1,Grade 6,DANCE
27,continue,1,Grade 6,DANCE
28,dance,1,Grade 6,DANCE
29,contain,2,Grade 6,DANCE
30,include,1,Grade 6,DANCE
31,master,1,Grade 6,DANCE
32,intend,1,Grade 6,DANCE
