,Verb/Skill,Frequency,Grade,Subject
0,develop,14,Grade 5,ENGLISH LANGUAGE ARTS AND READING
1,sustain,7,Grade 5,ENGLISH LANGUAGE ARTS AND READING
2,speak,15,Grade 5,ENGLISH LANGUAGE ARTS AND READING
3,think,9,Grade 5,ENGLISH LANGUAGE ARTS AND READING
4,listen,5,Grade 5,ENGLISH LANGUAGE ARTS AND READING
5,expect,13,Grade 5,ENGLISH LANGUAGE ARTS AND READING
6,interpret,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
7,ask,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
8,make,5,Grade 5,ENGLISH LANGUAGE ARTS AND READING
9,follow,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
10,give,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
11,include,19,Grade 5,ENGLISH LANGUAGE ARTS AND READING
12,employ,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
13,communicate,3,Grade 5,ENGLISH LANGUAGE ARTS AND READING
14,work,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
15,share,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
16,begin,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
17,read,10,Grade 5,ENGLISH LANGUAGE ARTS AND READING
18,spell,3,Grade 5,ENGLISH LANGUAGE ARTS AND READING
19,apply,3,Grade 5,ENGLISH LANGUAGE ARTS AND READING
20,decode,4,Grade 5,ENGLISH LANGUAGE ARTS AND READING
21,control,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
22,use,37,Grade 5,ENGLISH LANGUAGE ARTS AND READING
23,base,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
24,demonstrate,4,Grade 5,ENGLISH LANGUAGE ARTS AND READING
25,change,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
26,drop,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
27,double,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
28,write,4,Grade 5,ENGLISH LANGUAGE ARTS AND READING
29,acquire,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
30,determine,3,Grade 5,ENGLISH LANGUAGE ARTS AND READING
31,mean,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
32,identify,6,Grade 5,ENGLISH LANGUAGE ARTS AND READING
33,explain,6,Grade 5,ENGLISH LANGUAGE ARTS AND READING
34,deepen,3,Grade 5,ENGLISH LANGUAGE ARTS AND READING
35,establish,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
36,assign,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
37,select,3,Grade 5,ENGLISH LANGUAGE ARTS AND READING
38,generate,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
39,gain,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
40,correct,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
41,confirm,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
42,create,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
43,support,4,Grade 5,ENGLISH LANGUAGE ARTS AND READING
44,evaluate,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
