,Verb/Skill,Frequency,Grade,Subject
0,use,29,Grade 8,MATHEMATICS
1,acquire,1,Grade 8,MATHEMATICS
2,demonstrate,1,Grade 8,MATHEMATICS
3,expect,12,Grade 8,MATHEMATICS
4,apply,13,Grade 8,MATHEMATICS
5,arise,3,Grade 8,MATHEMATICS
6,solve,10,Grade 8,MATHEMATICS
7,incorporate,1,Grade 8,MATHEMATICS
8,analyze,3,Grade 8,MATHEMATICS
9,give,3,Grade 8,MATHEMATICS
10,formulate,1,Grade 8,MATHEMATICS
11,determine,6,Grade 8,MATHEMATICS
12,justify,2,Grade 8,MATHEMATICS
13,evaluate,1,Grade 8,MATHEMATICS
14,include,8,Grade 8,MATHEMATICS
15,communicate,3,Grade 8,MATHEMATICS
16,create,2,Grade 8,MATHEMATICS
17,organize,1,Grade 8,MATHEMATICS
18,connect,2,Grade 8,MATHEMATICS
19,explain,7,Grade 8,MATHEMATICS
20,write,4,Grade 8,MATHEMATICS
21,represent,6,Grade 8,MATHEMATICS
22,extend,1,Grade 8,MATHEMATICS
23,describe,5,Grade 8,MATHEMATICS
24,approximate,2,Grade 8,MATHEMATICS
25,locate,1,Grade 8,MATHEMATICS
26,order,2,Grade 8,MATHEMATICS
27,generalize,2,Grade 8,MATHEMATICS
28,correspond,1,Grade 8,MATHEMATICS
29,compare,3,Grade 8,MATHEMATICS
30,contrast,1,Grade 8,MATHEMATICS
31,involve,4,Grade 8,MATHEMATICS
32,develop,7,Grade 8,MATHEMATICS
33,interpret,1,Grade 8,MATHEMATICS
34,model,1,Grade 8,MATHEMATICS
35,suggest,2,Grade 8,MATHEMATICS
36,make,3,Grade 8,MATHEMATICS
37,identify,5,Grade 8,MATHEMATICS
38,have,1,Grade 8,MATHEMATICS
39,establish,1,Grade 8,MATHEMATICS
40,cut,1,Grade 8,MATHEMATICS
41,verify,1,Grade 8,MATHEMATICS
42,preserve,1,Grade 8,MATHEMATICS
43,do,1,Grade 8,MATHEMATICS
44,dilate,1,Grade 8,MATHEMATICS
45,construct,1,Grade 8,MATHEMATICS
46,address,1,Grade 8,MATHEMATICS
47,generate,1,Grade 8,MATHEMATICS
48,know,1,Grade 8,MATHEMATICS
49,select,1,Grade 8,MATHEMATICS
50,affect,1,Grade 8,MATHEMATICS
51,calculate,2,Grade 8,MATHEMATICS
52,repay,1,Grade 8,MATHEMATICS
53,invest,1,Grade 8,MATHEMATICS
54,save,1,Grade 8,MATHEMATICS
55,grow,1,Grade 8,MATHEMATICS
56,estimate,1,Grade 8,MATHEMATICS
57,devise,1,Grade 8,MATHEMATICS
58,accumulate,1,Grade 8,MATHEMATICS
59,need,1,Grade 8,MATHEMATICS
60,contribute,1,Grade 8,MATHEMATICS
