,Verb/Skill,Frequency,Grade,Subject
0,describe,4,Grade 4,MUSIC
1,analyze,1,Grade 4,MUSIC
2,expect,6,Grade 4,MUSIC
3,explain,3,Grade 4,MUSIC
4,include,11,Grade 4,MUSIC
5,categorize,1,Grade 4,MUSIC
6,use,10,Grade 4,MUSIC
7,know,3,Grade 4,MUSIC
8,refer,3,Grade 4,MUSIC
9,present,2,Grade 4,MUSIC
10,identify,3,Grade 4,MUSIC
11,label,1,Grade 4,MUSIC
12,read,2,Grade 4,MUSIC
13,reproduce,4,Grade 4,MUSIC
14,write,3,Grade 4,MUSIC
15,separate,1,Grade 4,MUSIC
16,dot,1,Grade 4,MUSIC
17,learn,3,Grade 4,MUSIC
18,extend,1,Grade 4,MUSIC
19,perform,5,Grade 4,MUSIC
20,sing,2,Grade 4,MUSIC
21,play,3,Grade 4,MUSIC
22,move,2,Grade 4,MUSIC
23,integrate,1,Grade 4,MUSIC
24,derive,1,Grade 4,MUSIC
25,interpret,1,Grade 4,MUSIC
26,create,4,Grade 4,MUSIC
27,explore,1,Grade 4,MUSIC
28,specify,1,Grade 4,MUSIC
29,examine,2,Grade 4,MUSIC
30,listen,1,Grade 4,MUSIC
31,respond,2,Grade 4,MUSIC
32,evaluate,1,Grade 4,MUSIC
33,etiquette,1,Grade 4,MUSIC
34,recognize,1,Grade 4,MUSIC
35,short,1,Grade 4,MUSIC
36,justify,1,Grade 4,MUSIC
