,Verb/Skill,Frequency,Grade,Subject
0,conduct,3,Grade 5,SCIENCE
1,follow,1,Grade 5,SCIENCE
2,expect,10,Grade 5,SCIENCE
3,demonstrate,6,Grade 5,SCIENCE
4,outline,1,Grade 5,SCIENCE
5,approve,1,Grade 5,SCIENCE
6,use,12,Grade 5,SCIENCE
7,include,7,Grade 5,SCIENCE
8,make,2,Grade 5,SCIENCE
9,implement,1,Grade 5,SCIENCE
10,test,2,Grade 5,SCIENCE
11,ask,1,Grade 5,SCIENCE
12,define,1,Grade 5,SCIENCE
13,formulate,1,Grade 5,SCIENCE
14,select,1,Grade 5,SCIENCE
15,collect,3,Grade 5,SCIENCE
16,analyze,2,Grade 5,SCIENCE
17,interpret,1,Grade 5,SCIENCE
18,construct,2,Grade 5,SCIENCE
19,infer,1,Grade 5,SCIENCE
20,repeat,1,Grade 5,SCIENCE
21,increase,1,Grade 5,SCIENCE
22,communicate,1,Grade 5,SCIENCE
23,write,1,Grade 5,SCIENCE
24,organize,1,Grade 5,SCIENCE
25,examine,1,Grade 5,SCIENCE
26,evaluate,2,Grade 5,SCIENCE
27,solve,1,Grade 5,SCIENCE
28,critique,1,Grade 5,SCIENCE
29,draw,1,Grade 5,SCIENCE
30,develop,1,Grade 5,SCIENCE
31,represent,1,Grade 5,SCIENCE
32,see,1,Grade 5,SCIENCE
33,connect,1,Grade 5,SCIENCE
34,know,7,Grade 5,SCIENCE
35,graduate,1,Grade 5,SCIENCE
36,time,1,Grade 5,SCIENCE
37,support,1,Grade 5,SCIENCE
38,determine,1,Grade 5,SCIENCE
39,classify,1,Grade 5,SCIENCE
40,change,2,Grade 5,SCIENCE
41,base,1,Grade 5,SCIENCE
42,sink,1,Grade 5,SCIENCE
43,float,1,Grade 5,SCIENCE
44,insulate,1,Grade 5,SCIENCE
45,maintain,1,Grade 5,SCIENCE
46,identify,3,Grade 5,SCIENCE
47,occur,2,Grade 5,SCIENCE
48,dissolve,1,Grade 5,SCIENCE
49,add,1,Grade 5,SCIENCE
50,observe,2,Grade 5,SCIENCE
51,explore,2,Grade 5,SCIENCE
52,produce,1,Grade 5,SCIENCE
53,sound,1,Grade 5,SCIENCE
54,travel,2,Grade 5,SCIENCE
55,strike,1,Grade 5,SCIENCE
56,reflect,1,Grade 5,SCIENCE
57,refract,1,Grade 5,SCIENCE
58,design,1,Grade 5,SCIENCE
59,consist,1,Grade 5,SCIENCE
60,lead,1,Grade 5,SCIENCE
61,recognize,1,Grade 5,SCIENCE
62,be,2,Grade 5,SCIENCE
63,explain,1,Grade 5,SCIENCE
64,rotate,1,Grade 5,SCIENCE
65,cause,2,Grade 5,SCIENCE
66,compare,2,Grade 5,SCIENCE
67,live,3,Grade 5,SCIENCE
68,survive,3,Grade 5,SCIENCE
69,interact,1,Grade 5,SCIENCE
70,describe,1,Grade 5,SCIENCE
71,predict,1,Grade 5,SCIENCE
72,have,1,Grade 5,SCIENCE
73,help,2,Grade 5,SCIENCE
74,web,1,Grade 5,SCIENCE
75,inherit,1,Grade 5,SCIENCE
76,learn,2,Grade 5,SCIENCE
77,ride,1,Grade 5,SCIENCE
