,Verb/Skill,Frequency,Grade,Subject
0,understand,19,Grade 7,SOCIAL STUDIES
1,expect,23,Grade 7,SOCIAL STUDIES
2,identify,25,Grade 7,SOCIAL STUDIES
3,describe,9,Grade 7,SOCIAL STUDIES
4,define,2,Grade 7,SOCIAL STUDIES
5,explain,17,Grade 7,SOCIAL STUDIES
6,divide,1,Grade 7,SOCIAL STUDIES
7,include,17,Grade 7,SOCIAL STUDIES
8,follow,1,Grade 7,SOCIAL STUDIES
9,found,1,Grade 7,SOCIAL STUDIES
10,begin,1,Grade 7,SOCIAL STUDIES
11,shape,6,Grade 7,SOCIAL STUDIES
12,compare,8,Grade 7,SOCIAL STUDIES
13,relate,4,Grade 7,SOCIAL STUDIES
14,conflict,1,Grade 7,SOCIAL STUDIES
15,become,1,Grade 7,SOCIAL STUDIES
16,contrast,2,Grade 7,SOCIAL STUDIES
17,lead,6,Grade 7,SOCIAL STUDIES
18,play,2,Grade 7,SOCIAL STUDIES
19,surround,2,Grade 7,SOCIAL STUDIES
20,give,1,Grade 7,SOCIAL STUDIES
21,analyze,9,Grade 7,SOCIAL STUDIES
22,concern,1,Grade 7,SOCIAL STUDIES
23,result,3,Grade 7,SOCIAL STUDIES
24,trace,1,Grade 7,SOCIAL STUDIES
25,ranch,1,Grade 7,SOCIAL STUDIES
26,locate,1,Grade 7,SOCIAL STUDIES
27,adapt,2,Grade 7,SOCIAL STUDIES
28,modify,1,Grade 7,SOCIAL STUDIES
29,affect,1,Grade 7,SOCIAL STUDIES
30,come,1,Grade 7,SOCIAL STUDIES
31,settle,1,Grade 7,SOCIAL STUDIES
32,influence,2,Grade 7,SOCIAL STUDIES
33,use,8,Grade 7,SOCIAL STUDIES
34,change,2,Grade 7,SOCIAL STUDIES
35,cause,1,Grade 7,SOCIAL STUDIES
36,reflect,3,Grade 7,SOCIAL STUDIES
37,create,3,Grade 7,SOCIAL STUDIES
38,elect,1,Grade 7,SOCIAL STUDIES
39,appoint,1,Grade 7,SOCIAL STUDIES
40,attempt,1,Grade 7,SOCIAL STUDIES
41,maintain,1,Grade 7,SOCIAL STUDIES
42,evaluate,3,Grade 7,SOCIAL STUDIES
43,skill,4,Grade 7,SOCIAL STUDIES
44,apply,2,Grade 7,SOCIAL STUDIES
45,organize,2,Grade 7,SOCIAL STUDIES
46,acquire,2,Grade 7,SOCIAL STUDIES
47,establish,1,Grade 7,SOCIAL STUDIES
48,artifact,1,Grade 7,SOCIAL STUDIES
49,sequence,1,Grade 7,SOCIAL STUDIES
50,categorize,1,Grade 7,SOCIAL STUDIES
51,find,1,Grade 7,SOCIAL STUDIES
52,make,3,Grade 7,SOCIAL STUDIES
53,draw,1,Grade 7,SOCIAL STUDIES
54,interpret,4,Grade 7,SOCIAL STUDIES
55,support,1,Grade 7,SOCIAL STUDIES
56,base,1,Grade 7,SOCIAL STUDIES
57,collect,1,Grade 7,SOCIAL STUDIES
58,represent,1,Grade 7,SOCIAL STUDIES
59,write,3,Grade 7,SOCIAL STUDIES
60,avoid,1,Grade 7,SOCIAL STUDIES
61,work,1,Grade 7,SOCIAL STUDIES
62,gather,1,Grade 7,SOCIAL STUDIES
63,list,1,Grade 7,SOCIAL STUDIES
64,consider,2,Grade 7,SOCIAL STUDIES
65,choose,1,Grade 7,SOCIAL STUDIES
66,implement,1,Grade 7,SOCIAL STUDIES
