,Verb/Skill,Frequency,Grade,Subject
0,use,13,Grade 4,TECHNOLOGY APPLICATIONS
1,construct,1,Grade 4,TECHNOLOGY APPLICATIONS
2,develop,2,Grade 4,TECHNOLOGY APPLICATIONS
3,expect,6,Grade 4,TECHNOLOGY APPLICATIONS
4,create,3,Grade 4,TECHNOLOGY APPLICATIONS
5,analyze,2,Grade 4,TECHNOLOGY APPLICATIONS
6,explore,1,Grade 4,TECHNOLOGY APPLICATIONS
7,reinforce,1,Grade 4,TECHNOLOGY APPLICATIONS
8,promote,1,Grade 4,TECHNOLOGY APPLICATIONS
9,learn,2,Grade 4,TECHNOLOGY APPLICATIONS
10,publish,1,Grade 4,TECHNOLOGY APPLICATIONS
11,ensure,1,Grade 4,TECHNOLOGY APPLICATIONS
12,include,5,Grade 4,TECHNOLOGY APPLICATIONS
13,collaborate,1,Grade 4,TECHNOLOGY APPLICATIONS
14,select,1,Grade 4,TECHNOLOGY APPLICATIONS
15,evaluate,6,Grade 4,TECHNOLOGY APPLICATIONS
16,perform,1,Grade 4,TECHNOLOGY APPLICATIONS
17,open,1,Grade 4,TECHNOLOGY APPLICATIONS
18,modify,1,Grade 4,TECHNOLOGY APPLICATIONS
19,save,1,Grade 4,TECHNOLOGY APPLICATIONS
20,acquire,2,Grade 4,TECHNOLOGY APPLICATIONS
21,collect,1,Grade 4,TECHNOLOGY APPLICATIONS
22,organize,1,Grade 4,TECHNOLOGY APPLICATIONS
23,research,1,Grade 4,TECHNOLOGY APPLICATIONS
24,identify,1,Grade 4,TECHNOLOGY APPLICATIONS
25,regard,1,Grade 4,TECHNOLOGY APPLICATIONS
26,explain,1,Grade 4,TECHNOLOGY APPLICATIONS
27,represent,1,Grade 4,TECHNOLOGY APPLICATIONS
28,solve,2,Grade 4,TECHNOLOGY APPLICATIONS
29,reflect,1,Grade 4,TECHNOLOGY APPLICATIONS
30,respect,1,Grade 4,TECHNOLOGY APPLICATIONS
31,protect,1,Grade 4,TECHNOLOGY APPLICATIONS
32,honor,1,Grade 4,TECHNOLOGY APPLICATIONS
33,follow,1,Grade 4,TECHNOLOGY APPLICATIONS
34,comply,1,Grade 4,TECHNOLOGY APPLICATIONS
35,demonstrate,2,Grade 4,TECHNOLOGY APPLICATIONS
36,file,1,Grade 4,TECHNOLOGY APPLICATIONS
37,navigate,1,Grade 4,TECHNOLOGY APPLICATIONS
38,access,1,Grade 4,TECHNOLOGY APPLICATIONS
39,troubleshoot,1,Grade 4,TECHNOLOGY APPLICATIONS
40,keyboarde,1,Grade 4,TECHNOLOGY APPLICATIONS
