,Verb/Skill,Frequency,Grade,Subject
0,develop,3,Grade 4,THEATRE
1,use,7,Grade 4,THEATRE
2,expect,5,Grade 4,THEATRE
3,integrate,1,Grade 4,THEATRE
4,sound,1,Grade 4,THEATRE
5,participate,1,Grade 4,THEATRE
6,imitate,1,Grade 4,THEATRE
7,synthesize,1,Grade 4,THEATRE
8,represent,1,Grade 4,THEATRE
9,enhance,2,Grade 4,THEATRE
10,clarify,1,Grade 4,THEATRE
11,define,2,Grade 4,THEATRE
12,demonstrate,4,Grade 4,THEATRE
13,set,1,Grade 4,THEATRE
14,interpret,1,Grade 4,THEATRE
15,create,3,Grade 4,THEATRE
16,describe,4,Grade 4,THEATRE
17,assume,1,Grade 4,THEATRE
18,dramatize,1,Grade 4,THEATRE
19,apply,2,Grade 4,THEATRE
20,alter,1,Grade 4,THEATRE
21,interact,1,Grade 4,THEATRE
22,relate,1,Grade 4,THEATRE
23,explain,1,Grade 4,THEATRE
24,identify,1,Grade 4,THEATRE
25,compare,2,Grade 4,THEATRE
26,respond,1,Grade 4,THEATRE
27,evaluate,1,Grade 4,THEATRE
28,kinetic,1,Grade 4,THEATRE
29,discuss,1,Grade 4,THEATRE
30,depict,1,Grade 4,THEATRE
