,Unnamed: 0,Verb/Skill,Frequency,Grade,Subject
0,0,develop,3,Grade 4,ART
1,1,expand,1,Grade 4,ART
2,2,use,6,Grade 4,ART
3,3,observe,1,Grade 4,ART
4,4,explore,1,Grade 4,ART
5,5,learn,1,Grade 4,ART
6,6,apply,1,Grade 4,ART
7,7,see,1,Grade 4,ART
8,8,know,1,Grade 4,ART
9,9,experience,1,Grade 4,ART
10,10,examine,1,Grade 4,ART
11,11,create,5,Grade 4,ART
12,12,expect,4,Grade 4,ART
13,13,communicate,2,Grade 4,ART
14,14,draw,2,Grade 4,ART
15,15,discuss,2,Grade 4,ART
16,16,include,3,Grade 4,ART
17,17,express,2,Grade 4,ART
18,18,challenge,1,Grade 4,ART
19,19,foster,1,Grade 4,ART
20,20,solve,1,Grade 4,ART
21,21,integrate,1,Grade 4,ART
22,22,produce,1,Grade 4,ART
23,23,model,1,Grade 4,ART
24,24,demonstrate,1,Grade 4,ART
25,25,analyze,2,Grade 4,ART
26,26,compare,2,Grade 4,ART
27,27,play,1,Grade 4,ART
28,28,reflect,1,Grade 4,ART
29,29,tell,1,Grade 4,ART
30,30,document,1,Grade 4,ART
31,31,make,2,Grade 4,ART
32,32,connect,1,Grade 4,ART
33,33,investigate,1,Grade 4,ART
34,34,respond,1,Grade 4,ART
35,35,contribute,1,Grade 4,ART
36,36,evaluate,1,Grade 4,ART
37,37,write,1,Grade 4,ART
38,38,identify,1,Grade 4,ART
39,39,find,1,Grade 4,ART
0,0,develop,4,Grade 5,ART
1,1,expand,1,Grade 5,ART
2,2,use,6,Grade 5,ART
3,3,observe,1,Grade 5,ART
4,4,explore,1,Grade 5,ART
5,5,learn,1,Grade 5,ART
6,6,apply,1,Grade 5,ART
7,7,see,1,Grade 5,ART
8,8,know,1,Grade 5,ART
9,9,experience,1,Grade 5,ART
10,10,examine,1,Grade 5,ART
11,11,create,5,Grade 5,ART
12,12,expect,4,Grade 5,ART
13,13,communicate,2,Grade 5,ART
14,14,draw,2,Grade 5,ART
15,15,discuss,2,Grade 5,ART
16,16,include,3,Grade 5,ART
17,17,express,1,Grade 5,ART
18,18,challenge,1,Grade 5,ART
19,19,foster,1,Grade 5,ART
20,20,solve,1,Grade 5,ART
21,21,integrate,1,Grade 5,ART
22,22,produce,1,Grade 5,ART
23,23,model,1,Grade 5,ART
24,24,demonstrate,1,Grade 5,ART
25,25,analyze,2,Grade 5,ART
26,26,compare,2,Grade 5,ART
27,27,evaluate,2,Grade 5,ART
28,28,make,2,Grade 5,ART
29,29,connect,1,Grade 5,ART
30,30,investigate,1,Grade 5,ART
31,31,respond,1,Grade 5,ART
32,32,contribute,1,Grade 5,ART
33,33,write,1,Grade 5,ART
34,34,identify,1,Grade 5,ART
35,35,find,1,Grade 5,ART
0,0,incorporate,1,Grade 6,ART
1,1,offer,1,Grade 6,ART
