,Statement,Verbs/Skills,Grade,Subject
0,"(1) History. The student understands traditional historical points of reference in U.S. history through 1877. The student is expected to: (A) identify the major eras in U.S. history through 1877, including colonization, revolution, creation and ratification of the Constitution, early republic, the Age of Jackson, westward expansion, reform movements, sectionalism, Civil War, and Reconstruction, and describe their causes and effects; and (B) explain the significance of the following dates: 1607, founding of Jamestown; 1620, arrival of the Pilgrims and signing of the Mayflower Compact; 1776, adoption of the Declaration of Independence; 1787, writing of the U.S. Constitution; 1803, Louisiana Purchase; and 1861-1865, Civil War.",understand; expect; identify; include; describe; explain; follow; found; write,Grade 8,SOCIAL STUDIES
1,"(2) History. The student understands the causes of exploration and colonization eras. The student is expected to: (A) identify reasons for English, Spanish, and French exploration and colonization of North America; and (B) compare political, economic, religious, and social reasons for the establishment of the 13 English colonies.",understand; expect; identify; compare,Grade 8,SOCIAL STUDIES
2,"(3) History. The student understands the foundations of representative government in the United States. The student is expected to: (A) explain the reasons for the growth of representative government and institutions during the colonial period; (B) analyze the importance of the Mayflower Compact, the Fundamental Orders of Connecticut, and the Virginia House of Burgesses to the growth of representative government; and (C) describe how religion and virtue contributed to the growth of representative government in the American colonies.",understand; expect; explain; analyze; describe; contribute,Grade 8,SOCIAL STUDIES
3,"(4) History. The student understands significant political and economic issues of the revolutionary and Constitutional eras. The student is expected to: (A) analyze causes of the American Revolution, including the Proclamation of 1763, the Intolerable Acts, the Stamp Act, mercantilism, lack of representation in Parliament, and British economic policies following the French and Indian War; (B) explain the roles played by significant individuals during the American Revolution, including Abigail Adams, John Adams, Wentworth Cheswell, Samuel Adams, Mercy Otis Warren, James Armistead, Benjamin Franklin, Crispus Attucks, King George III, Patrick Henry, Thomas Jefferson, the Marquis de Lafayette, Thomas Paine, and George Washington; (C) explain the issues surrounding important events of the American Revolution, including declaring independence; fighting the battles of Lexington and Concord, Saratoga, and Yorktown; enduring the winter at Valley Forge; and signing the Treaty of Paris of 1783; and (D) analyze the issues of the Constitutional Convention of 1787, including the Great Compromise and the Three-Fifths Compromise.",understand; expect; include; follow; explain; play; include; explain; surround; include; declare; fight; endure; sign; analyze; include,Grade 8,SOCIAL STUDIES
4,"(5) History. The student understands the challenges confronted by the government and its leaders in the early years of the republic and the Age of Jackson. The student is expected to: (A) describe major domestic problems faced by the leaders of the new republic, including maintaining national security, creating a stable economic system, and setting up the court system; (B) summarize arguments regarding protective tariffs, taxation, and the banking system; (C) explain the origin and development of American political parties; (D) explain the causes, important events, and effects of the War of 1812; (E) identify the foreign policies of presidents Washington through Monroe and explain the impact of Washington's Farewell Address and the Monroe Doctrine; (F) explain the impact of the election of Andrew Jackson, including expanded suffrage; and (G) analyze the reasons for the removal and resettlement of Cherokee Indians during the Jacksonian era, including the Indian Removal Act, Worcester v. Georgia, and the Trail of Tears.",understand; confront; expect; describe; face; include; maintain; create; set; summarize; regard; explain; explain; identify; explain; explain; include; expand; analyze; include,Grade 8,SOCIAL STUDIES
5,"(6) History. The student understands westward expansion and its effects on the political, economic, and social development of the nation. The student is expected to: (A) explain how the Northwest Ordinance established principles and procedures for orderly expansion of the United States; (B) analyze the westward growth of the nation, including the Louisiana Purchase and Manifest Destiny; and (C) explain the causes and effects of the U.S.-Mexican War and their impact on the United States.",understand; expect; explain; establish; analyze; include; explain,Grade 8,SOCIAL STUDIES
6,"(7) History. The student understands how political, economic, and social factors led to the growth of sectionalism and the Civil War. The student is expected to: (A) analyze the impact of tariff policies on sections of the United States before the Civil War; (B) compare the effects of political, economic, and social factors on slaves and free blacks; (C) analyze the impact of slavery on different sections of the United States; and (D) identify the provisions and compare the effects of congressional conflicts and compromises prior to the Civil War, including the role of John Quincy Adams.",understand; lead; expect; analyze; compare; analyze; identify; compare; include,Grade 8,SOCIAL STUDIES
7,"(8) History. The student understands individuals, issues, and events of the Civil War. The student is expected to: (A) explain the roles played by significant individuals during the Civil War, including Jefferson Davis, Ulysses S. Grant, Robert E. Lee, and Abraham Lincoln, and heroes such as congressional Medal of Honor recipients William Carney and Philip Bazaar; (B) explain the central role of the expansion of slavery in causing sectionalism, disagreement over states' rights, and the Civil War; (C) explain significant events of the Civil War, including the firing on Fort Sumter; the battles of Antietam, Gettysburg, and Vicksburg; the Emancipation Proclamation; Lee's surrender at Appomattox Court House; and the assassination of Abraham Lincoln; and (D) analyze Abraham Lincoln's ideas about liberty, equality, union, and government as contained in his first and second inaugural addresses and the Gettysburg Address and contrast them with the ideas contained in Jefferson Davis's inaugural address.",understand; expect; explain; play; include; recipient; explain; cause; explain; include; analyze; contain; contrast; contain,Grade 8,SOCIAL STUDIES
8,"(9) History. The student understands the effects of Reconstruction on the political, economic, and social life of the nation. The student is expected to: (A) evaluate legislative reform programs of the Radical Reconstruction Congress and reconstructed state governments; (B) explain the impact of the election of African Americans from the South such as Hiram Rhodes Revels; and (C) explain the economic, political, and social problems during Reconstruction and evaluate their impact on different groups.",understand; expect; evaluate; reconstruct; explain; explain; evaluate,Grade 8,SOCIAL STUDIES
9,"(10) Geography. The student understands the location and characteristics of places and regions of the United States, past and present. The student is expected to: (A) locate places and regions directly related to major eras and turning points in the United States during the 17th, 18th, and 19th centuries; (B) compare places and regions of the United States in terms of physical and human characteristics; and (C) analyze the effects of physical and human geographic factors such as weather, landforms, waterways, transportation, and communication on major historical events in the United States.",understand; expect; relate; turn; compare; analyze,Grade 8,SOCIAL STUDIES
